
1D adaptive Heat PDE test problem:
  diffusion coefficient:  k = 0.5
  initial N = 21
  iout          dt_old                 dt_new               ||u||_rms       N   NNI  NLI
   26  1.935988644012722e-03  6.611484088272905e-03  1.314213278740247e-02  33    5   51
   27  6.611484088272905e-03  1.217213242370653e-02  1.582537212944243e-02  33    5  102
   28  1.567488810230384e-03  1.444087453486849e-03  1.629977063231456e-02  35   15  217
   29  1.444087453486849e-03  1.444087453486849e-03  1.679842123700974e-02  37    5   44
   30  1.444087453486849e-03  3.836935501787126e-03  1.730481930532137e-02  37    5   35
   31  8.654282058202949e-04  7.728007746060594e-04  1.722234348310017e-02  39   15  272
   32  7.728007746060594e-04  1.330646412570821e-03  1.747398089586354e-02  39    5   48
   33  1.330646412570821e-03  3.834079420882867e-03  1.789770003009305e-02  39    5   52
   34  3.834079420882867e-03  1.569481506144950e-02  1.905354245241258e-02  39    5  100
   35  9.978787852657237e-04  9.966324530183538e-04  1.886962167627249e-02  41   15  278
   36  9.966324530183538e-04  1.996900061170196e-03  1.914173582786129e-02  41    5   58
   37  1.996900061170196e-03  6.218086642567115e-03  1.967029428829558e-02  41    5   75
   38  1.032159627499825e-03  9.376300895749615e-04  1.928148045860337e-02  45   15  289
   39  9.376300895749615e-04  9.376300895749615e-04  1.913933019350827e-02  47    5   61
   40  9.376300895749615e-04  2.405591927328892e-03  1.936162544596724e-02  47    5   52
   41  2.405591927328892e-03  8.240229456725293e-03  1.991285156520596e-02  47    5   86
   42  4.580620632772653e-03  4.580620632772653e-03  2.089088933213617e-02  47   10  208
   43  4.580620632772653e-03  4.580620632772653e-03  2.178283713371895e-02  47    5  105
   44  4.580620632772653e-03  8.447823075588364e-03  2.259706398046689e-02  47    5  103
   45  3.439870078861051e-03  3.231335075491357e-03  2.303530101389846e-02  49   10  210
   46  6.884638692708209e-04  6.884638692708209e-04  2.289361047031365e-02  51   15  275
   47  6.884638692708209e-04  1.355785862692851e-03  2.299981696188508e-02  51    5   59
   48  1.355785862692851e-03  3.655361211852194e-03  2.320460365933760e-02  51    5   72
   49  3.655361211852194e-03  1.030904993434222e-02  2.373038283474718e-02  51    5  105
   50  2.736173658458791e-03  2.736173658458791e-03  2.410050121855533e-02  51   10  201
   51  2.736173658458791e-03  9.603725606338780e-03  2.445184561639285e-02  51    5   75
   52  9.603725606338780e-03  9.603725606338780e-03  2.555097079597751e-02  51    5  105
   53  9.603725606338780e-03  9.603725606338780e-03  2.647008979584463e-02  51    5  105
   54  9.603725606338780e-03  9.603725606338780e-03  2.724087953856350e-02  51    5  105
   55  1.822225330204161e-03  1.822225330204161e-03  2.846268846013951e-02  55   10  210
   56  1.822225330204161e-03  3.578166316264832e-03  2.859422966090249e-02  55    5   91
