
Nonlinear Kvaerno-Prothero-Robinson test problem with mass matrix:
    time domain:  (-3,7]
    Fixed mass matrix
    ERK solver, order = 4
    Adaptive run with reltol = 1e-05, abstol = 1e-11
    G = -10
    g = 10
    e = 0.5

        t           u           v       uerr      verr
    6.999995    1.173432    1.630026  3.93e-06  1.19e-07
   ------------------------------------------------------

Final Solver Statistics:
   Internal solver steps = 166 (attempted = 167)
   Total number of error test failures = 1
   Total RHS evals:  Fe = 1004,  Fi = 0
   Total mass matrix setups = 672
   Total mass matrix solves = 1004
   Total mass times evals = 166
   Errors: u = 3.59267e-06, v = 3.36964e-07, total = 2.55155e-06
