
Nonlinear Kvaerno-Prothero-Robinson test problem with mass matrix:
    time domain:  (-3,7]
    Time-dependent mass matrix
    ERK solver, order = 8
    Adaptive run with reltol = 1e-05, abstol = 1e-11
    G = -10
    g = 10
    e = 0.5

        t           u           v       uerr      verr
    6.999995    1.173902    1.629199  4.66e-04  8.26e-04
   ------------------------------------------------------

Final Solver Statistics:
   Internal solver steps = 103 (attempted = 103)
   Total number of error test failures = 0
   Total RHS evals:  Fe = 1742,  Fi = 0
   Total mass matrix setups = 1539
   Total mass matrix solves = 1845
   Total mass times evals = 103
   Errors: u = 0.000839514, v = 0.000871028, total = 0.000855417
