
   Begin Kepler Problem

Problem Arguments:
  stepper:              1
  step mode:            1
  use compensated sums: 0
  dt:                   0.01
  Tf:                   100
  nout:                 1000

t = 6.2000, H(p,q)-H0 = -0.0002408027648926, L(p,q)-L0 = -0.0000625848770142
t = 6.3000, H(p,q)-H0 = -0.0004372596740723, L(p,q)-L0 = -0.0001137852668762
t = 6.4000, H(p,q)-H0 = -0.0009024143218994, L(p,q)-L0 = -0.0001698732376099
t = 6.5000, H(p,q)-H0 = -0.0010688304901123, L(p,q)-L0 = -0.0001885890960693
t = 6.6000, H(p,q)-H0 = -0.0010801553726196, L(p,q)-L0 = -0.0001896619796753
t = 6.7000, H(p,q)-H0 = -0.0011029243469238, L(p,q)-L0 = -0.0001928210258484
t = 6.8000, H(p,q)-H0 = -0.0011115074157715, L(p,q)-L0 = -0.0001938343048096
t = 6.9000, H(p,q)-H0 = -0.0011155605316162, L(p,q)-L0 = -0.0001941323280334
t = 7.0000, H(p,q)-H0 = -0.0011174082756042, L(p,q)-L0 = -0.0001942515373230
t = 7.1000, H(p,q)-H0 = -0.0011183619499207, L(p,q)-L0 = -0.0001942515373230
t = 7.2000, H(p,q)-H0 = -0.0011188387870789, L(p,q)-L0 = -0.0001943111419678
t = 7.3000, H(p,q)-H0 = -0.0011193156242371, L(p,q)-L0 = -0.0001942515373230
t = 7.4000, H(p,q)-H0 = -0.0011194348335266, L(p,q)-L0 = -0.0001943111419678
t = 7.5000, H(p,q)-H0 = -0.0011196136474609, L(p,q)-L0 = -0.0001942515373230
t = 7.6000, H(p,q)-H0 = -0.0011194944381714, L(p,q)-L0 = -0.0001942515373230
t = 7.7000, H(p,q)-H0 = -0.0011196732521057, L(p,q)-L0 = -0.0001942515373230
t = 7.8000, H(p,q)-H0 = -0.0011197328567505, L(p,q)-L0 = -0.0001943111419678
t = 7.9000, H(p,q)-H0 = -0.0011198520660400, L(p,q)-L0 = -0.0001944303512573
t = 8.0000, H(p,q)-H0 = -0.0011197328567505, L(p,q)-L0 = -0.0001943707466125
t = 8.1000, H(p,q)-H0 = -0.0011197328567505, L(p,q)-L0 = -0.0001943111419678
t = 8.2000, H(p,q)-H0 = -0.0011197924613953, L(p,q)-L0 = -0.0001943111419678
t = 8.3000, H(p,q)-H0 = -0.0011197924613953, L(p,q)-L0 = -0.0001943111419678
t = 8.4000, H(p,q)-H0 = -0.0011197328567505, L(p,q)-L0 = -0.0001943111419678
t = 8.5000, H(p,q)-H0 = -0.0011197328567505, L(p,q)-L0 = -0.0001943111419678
t = 8.6000, H(p,q)-H0 = -0.0011197924613953, L(p,q)-L0 = -0.0001942515373230
t = 8.7000, H(p,q)-H0 = -0.0011197328567505, L(p,q)-L0 = -0.0001943707466125
t = 8.8000, H(p,q)-H0 = -0.0011197924613953, L(p,q)-L0 = -0.0001943707466125
t = 8.9000, H(p,q)-H0 = -0.0011197924613953, L(p,q)-L0 = -0.0001943707466125
t = 9.0000, H(p,q)-H0 = -0.0011197328567505, L(p,q)-L0 = -0.0001943111419678
t = 9.1000, H(p,q)-H0 = -0.0011197328567505, L(p,q)-L0 = -0.0001942515373230
t = 9.2000, H(p,q)-H0 = -0.0011197328567505, L(p,q)-L0 = -0.0001942515373230
t = 9.3000, H(p,q)-H0 = -0.0011196732521057, L(p,q)-L0 = -0.0001943111419678
