
Nonlinear Kvaerno-Prothero-Robinson test problem with mass matrix:
    time domain:  (-3,7]
    Time-dependent mass matrix
    ERK solver, order = 8
    Adaptive run with reltol = 1e-05, abstol = 1e-11
    G = -10
    g = 10
    e = 0.5

        t           u           v       uerr      verr
    6.999995    1.173436    1.630026  0.00e+00  5.96e-07
   ------------------------------------------------------

Final Solver Statistics:
   Internal solver steps = 104 (attempted = 104)
   Total number of error test failures = 0
   Total RHS evals:  Fe = 1755,  Fi = 0
   Total mass matrix setups = 1451
   Total mass matrix solves = 1755
   Total mass times evals = 104
   Errors: u = 1.40672e-07, v = 2.39014e-07, total = 1.96107e-07
