
1D adaptive Heat PDE test problem:
  diffusion coefficient:  k = 0.5
  initial N = 21
  iout          dt_old                 dt_new               ||u||_rms       N   NNI  NLI
   26  1.357196364551783e-02  1.357196364551783e-02  2.951895761197522e-02  61   10  210
   27  1.118025835603476e-02  1.118025835603476e-02  2.985786724475831e-02  61   10  210
   28  8.002395741641521e-03  8.002395741641521e-03  3.006460761569133e-02  61   10  210
   29  8.002395741641521e-03  1.530719734728336e-02  3.024999610808738e-02  61    5  105
   30  1.530719734728336e-02  2.331127226352692e-02  3.054873973613415e-02  61    5  105
   31  5.128424614667892e-03  5.128424614667892e-03  3.063536990259530e-02  61   15  315
   32  5.128424614667892e-03  3.652105480432510e-02  3.071602860659887e-02  61    5  105
   33  3.652105480432510e-02  6.255073845386505e-02  3.115725444935332e-02  61    5  105
   34  1.563768461346626e-02  1.563768461346626e-02  3.129657054323096e-02  61    7  147
   35  1.563768461346626e-02  1.492510456591845e-02  3.141785594315691e-02  61    5  105
   36  1.492510456591845e-02  1.788238622248173e-02  3.151434243064784e-02  61    5  105
   37  1.788238622248173e-02  1.992100477218628e-02  3.161502894839544e-02  61    5  105
   38  1.992100477218628e-02  2.490664832293987e-02  3.171082923322768e-02  61    5  105
   39  2.490664832293987e-02  2.822426520287991e-02  3.181303647205870e-02  61    5  105
   40  7.056066300719976e-03  7.056066300719976e-03  3.183917368489273e-02  61    9  189
   41  7.056066300719976e-03  1.030613575130701e-02  3.186403450561305e-02  61    5  105
   42  1.030613575130701e-02  1.278906129300594e-02  3.189514898027836e-02  61    5  105
   43  1.278906129300594e-02  3.010031953454018e-02  3.193582168296621e-02  61    5  105
   44  7.525079883635044e-03  7.525079883635044e-03  3.195834891863600e-02  61    8  168
   45  7.525079883635044e-03  2.876536920666695e-02  3.197995751474234e-02  61    5  105
   46  7.191342301666737e-03  7.191342301666737e-03  3.199969436792454e-02  61    6  126
   47  7.191342301666737e-03  2.390011399984360e-02  3.201872825104308e-02  61    5  105
   48  2.390011399984360e-02  4.129163175821304e-02  3.207667309473333e-02  61    5  105
   49  1.032290793955326e-02  1.032290793955326e-02  3.209962010129559e-02  61    6  126
   50  1.032290793955326e-02  2.299473434686661e-02  3.212138010999387e-02  61    5  105
   51  5.748683586716652e-03  5.748683586716652e-03  3.213299910729757e-02  61    6  126
   52  5.748683586716652e-03  2.250628359615803e-02  3.214428433640870e-02  61    5  105
   53  1.946797221899033e-02  1.946797221899033e-02  3.217953082150934e-02  61   10  210
   54  1.946797221899033e-02  1.951143331825733e-02  3.221198315719265e-02  61    5  105
   55  1.951143331825733e-02  3.578557819128036e-02  3.224170033061658e-02  61    5  105
   56  8.946394547820091e-03  8.946394547820091e-03  3.225441112321827e-02  61    8  168
   57  8.946394547820091e-03  4.391065612435341e-02  3.226655227330866e-02  61    5  105
   58  1.150457747280598e-02  1.150457747280598e-02  3.228142252030761e-02  61   15  315
   59  1.150457747280598e-02  4.375834763050079e-02  3.229551813078694e-02  61    5  105
