
1D adaptive Heat PDE test problem:
  diffusion coefficient:  k = 0.5
  initial N = 21
  iout          dt_old                 dt_new               ||u||_rms       N   NNI  NLI
   26  3.590187756344676e-03  3.590187756344676e-03  1.352865538202465e-02  34    5   79
   27  3.590187756344676e-03  9.689436294138432e-03  1.496819203938729e-02  34    5   59
   28  9.689436294138432e-03  9.689436294138432e-03  1.831280297049687e-02  34    5   96
   29  3.634088789112866e-04  3.634088789112866e-04  1.796919696448914e-02  40   20  332
   30  3.634088789112866e-04  7.408765959553421e-04  1.807884162073480e-02  40    5   33
   31  7.408765959553421e-04  2.094051335006952e-03  1.829974968780472e-02  40    5   44
   32  2.094051335006952e-03  5.410968326032162e-03  1.890638009777312e-02  40    5   77
   33  5.410968326032162e-03  5.410968326032162e-03  2.035714973942879e-02  40    5  105
   34  9.325416758656502e-04  8.853182662278414e-04  1.989983839914669e-02  44   15  277
   35  8.853182662278414e-04  8.853182662278414e-04  1.972057108727685e-02  46    5   58
   36  8.853182662278414e-04  2.376511227339506e-03  1.992619741638448e-02  46    5   47
   37  2.376511227339506e-03  7.915811613202095e-03  2.046019412859129e-02  46    5   81
   38  7.915811613202095e-03  7.254334632307291e-03  2.206521275982014e-02  46    5  105
   39  7.254334632307291e-03  6.092428695410490e-03  2.332982896876951e-02  46    5  105
   40  1.015374902635813e-03  9.214160381816328e-04  2.309792610744982e-02  50   15  280
   41  9.214160381816328e-04  1.518988166935742e-03  2.324129095872793e-02  50    5   62
   42  1.518988166935742e-03  3.429772332310677e-03  2.347208367331966e-02  50    5   80
   43  3.429772332310677e-03  6.651881616562605e-03  2.396925800446000e-02  50    5  102
   44  6.651881616562605e-03  6.651881616562605e-03  2.484573212399922e-02  50    5  105
   45  6.651881616562605e-03  6.015960592776537e-03  2.561862869075475e-02  50    5  105
   46  6.015960592776537e-03  6.015960592776537e-03  2.623951652561447e-02  50    5  105
   47  6.015960592776537e-03  5.438547581434250e-03  2.679504511141888e-02  50    5  105
   48  5.438547581434250e-03  1.126390416175127e-02  2.724711658068746e-02  50    5  105
