
Nonlinear Kvaerno-Prothero-Robinson test problem with mass matrix:
    time domain:  (-3,7]
    Time-dependent mass matrix
    ERK solver, order = 8
    Adaptive run with reltol = 1e-05, abstol = 1e-11
    G = -10
    g = 10
    e = 0.5

        t           u           v       uerr      verr
    6.999995    1.173604    1.629679  1.67e-04  3.46e-04
   ------------------------------------------------------

Final Solver Statistics:
   Internal solver steps = 104 (attempted = 104)
   Total number of error test failures = 0
   Total RHS evals:  Fe = 1755,  Fi = 0
   Total mass matrix setups = 1551
   Total mass matrix solves = 1859
   Total mass times evals = 104
   Errors: u = 0.000255902, v = 0.000391945, total = 0.000330989
