
1D adaptive Heat PDE test problem:
  diffusion coefficient:  k = 0.5
  initial N = 21
  iout          dt_old                 dt_new               ||u||_rms       N   NNI  NLI
   26  1.936622662991996e-03  6.648454588705072e-03  1.314254529207712e-02  33    5   51
   27  6.648454588705072e-03  1.217711621851597e-02  1.583960207930387e-02  33    5   97
   28  1.567382745757377e-03  1.444233490490357e-03  1.631346744776265e-02  35   15  221
   29  1.444233490490357e-03  1.444233490490357e-03  1.681191974940993e-02  37    5   44
   30  1.444233490490357e-03  3.837141295823190e-03  1.731794797127576e-02  37    5   35
   31  8.207433929560384e-04  7.383474159247032e-04  1.722020411847141e-02  39   15  270
   32  7.383474159247032e-04  1.268202447166236e-03  1.746073785479802e-02  39    5   46
   33  1.268202447166236e-03  3.661624754028952e-03  1.786518858464115e-02  39    5   51
   34  3.661624754028952e-03  1.193693398691513e-02  1.897346351024494e-02  39    5   99
   35  9.621181494430633e-04  9.621181494430633e-04  1.878325119892038e-02  41   15  277
   36  9.621181494430633e-04  1.909589687751775e-03  1.904775944539304e-02  41    5   55
   37  1.909589687751775e-03  6.636893818391467e-03  1.955733398164375e-02  41    5   69
   38  1.024108773640555e-03  9.300348384301129e-04  1.917136408599019e-02  45   15  289
   39  9.300348384301129e-04  9.300348384301129e-04  1.903128377100630e-02  47    5   61
   40  9.300348384301129e-04  2.385548663824749e-03  1.925383713884808e-02  47    5   52
   41  2.385548663824749e-03  7.859879272959316e-03  1.980570649722900e-02  47    5   81
   42  7.859879272959316e-03  7.859879272959316e-03  2.144626383214164e-02  47    5  105
   43  4.743993270052658e-03  4.542917925020437e-03  2.231840767539194e-02  47   10  210
   44  4.542917925020437e-03  4.542917925020437e-03  2.308026672609643e-02  47    5  105
   45  6.040154669482317e-04  6.040154669482317e-04  2.280738495326152e-02  51   15  268
   46  6.040154669482317e-04  1.227849832624120e-03  2.290138235733715e-02  51    5   55
   47  1.227849832624120e-03  3.438361107883717e-03  2.308902142550872e-02  51    5   74
   48  3.438361107883717e-03  6.724269993701533e-03  2.359161180153395e-02  51    5  104
   49  2.170906428746483e-03  2.170906428746483e-03  2.389238880603237e-02  51   10  201
   50  2.170906428746483e-03  4.039347096198425e-03  2.418099612996400e-02  51    5  101
   51  4.039347096198425e-03  1.382289511347044e-02  2.468738491990742e-02  51    5  103
   52  4.471048050366091e-03  4.471048050366091e-03  2.520470347659769e-02  51   10  209
   53  4.471048050366091e-03  8.342476053752692e-03  2.568047275459801e-02  51    5  101
   54  6.322372459945579e-03  6.322372459945579e-03  2.628926523333766e-02  51   10  210
   55  3.207053095967014e-03  3.207053095967014e-03  2.657200468050254e-02  51   10  193
   56  3.207053095967014e-03  1.490588759271676e-02  2.683863388302639e-02  51    5   84
   57  3.726471898179191e-03  3.726471898179191e-03  2.712953087294434e-02  51   10  188
   58  3.102128787924072e-03  2.780288821024047e-03  2.844510083680581e-02  55   10  210
   59  2.780288821024047e-03  4.419817713135935e-03  2.864483642040581e-02  55    5  105
   60  3.356475839963090e-03  3.356475839963090e-03  2.887329428560799e-02  55   10  210
   61  3.356475839963090e-03  1.032676770229481e-02  2.908861185116451e-02  55    5   86
   62  3.397189694197106e-03  3.397189694197106e-03  2.898857636152271e-02  57   10  210
   63  3.397189694197106e-03  1.150433740805119e-02  2.918056108737027e-02  57    5  100
   64  7.358351915637070e-03  7.358351915637070e-03  2.955968542322239e-02  57   10  210
   65  4.949417581522712e-03  4.949417581522712e-03  2.935957695433985e-02  59   10  210
   66  4.949417581522712e-03  9.912143933228391e-03  2.909881225233681e-02  61    5  105
   67  6.418233196373536e-03  6.418233196373536e-03  2.934097976435769e-02  61   10  210
   68  6.418233196373536e-03  6.418233196373536e-03  2.955899304421436e-02  61    5  105
   69  6.418233196373536e-03  1.085239773474611e-02  2.975562436771192e-02  61    5  105
   70  2.905149043346921e-03  2.905149043346921e-03  2.983826241187521e-02  61   10  210
   71  2.905149043346921e-03  6.729652236422775e-03  2.991723526155516e-02  61    5  101
   72  6.729652236422775e-03  1.928067229653430e-02  3.008713613963381e-02  61    5  102
   73  7.215554352396089e-03  7.215554352396089e-03  3.025106862270489e-02  61   10  208
   74  7.215554352396089e-03  2.191111070697160e-02  3.039843758890573e-02  61    5  105
   75  9.997176429885281e-03  9.997176429885281e-03  3.057902402122270e-02  61   10  210
   76  9.997176429885281e-03  9.997176429885281e-03  3.073630409824916e-02  61    5  105
   77  9.997176429885281e-03  9.997176429885281e-03  3.087416226492910e-02  61    5  105
   78  9.997176429885281e-03  9.997176429885281e-03  3.099564330326392e-02  61    5  105
   79  5.965918873980688e-03  5.965918873980688e-03  3.106146998702206e-02  61   10  210
   80  5.965918873980688e-03  9.114719867377860e-03  3.112285334390898e-02  61    5  105
   81  9.114719867377860e-03  9.114719867377860e-03  3.120902609877936e-02  61    5  105
